Id Cliente,No Crédito,Ciclo de crédito,Tasa Corriente,Tasa Mora,Plazo,Frecuencia,Monto del crédito aprobado,Monto desembolsado,Fecha de desembolso,Saldo de capital,Fecha del primer pago,Fecha de la última cuota del crédito,Días de vencimiento,Valor de la cuota,Capital adeudado a la fecha,Intereses corrientes adeudado a la fecha,Intereses en mora adeudado a la fecha,Pagaré,Estado del crédito,Capital vencido,Marcaciones,Intereses corrientes causados a la fecha,Intereses en mora causados a la fecha
5f3562a033eebbf8f70000ee,5fd456af43d64d5ed419ced5,1,0.26675055,0.2676,3,1,250000,250000,23/11/2020,0,23/12/2020,23/02/2021,0,86671.7831,250000.01,0,0,8908-0139,closed,0,,0,0
627b3a3c024a4a02da000505,628d03718b49e95f88e1e80c,1,0.284797331,0.285794215,12,1,2024000,2024000,24/05/2022,1846155,14/06/2022,14/05/2023,0,192687.4448,149974.98,29279.67,0,5891,active,0,,29278.14,0
621c0ea3024a4a79f600fdc4,62333ae635c3116f5d9ff655,1,0.276097266,0.277102976,12,1,1418000,1418000,17/03/2022,1418000,07/04/2022,07/03/2023,92,134518.2067,434815.29,99240.11,6763.9,4009,active,434815.29,BID,0,0
62506bde024a4a23e3000907,6283db2b46f41c4fc1216013,1,0.284797331,0.285794215,12,1,2024000,2024000,17/05/2022,1864236.75,14/06/2022,14/05/2023,0,192687.4448,149974.98,0,0,5952,active,0,BID,29523.02,0
6286ccea024a4a32d30000bf,62b380f5599f3a5ea6a00a67,2,0.290001,0.30604999,12,1,2024000.06,2024000.06,22/06/2022,2024000.06,04/07/2022,04/06/2023,4,193093.4867,149684.76,17001.2,0,6307-00,active,149684.76,,5543.84,0
5f4e6eff2f41f37ae30000d9,5fe39aa087139d19bb12d04e,1,0.260801629,0.2619,3,1,500000,500000,23/12/2020,0,23/01/2021,23/03/2021,0,173208.5074,500000.01,0,0,8103-0202,closed,0,,0,0
626841ee3b10c4f285000438,62741fad48674d18658e0c52,1,0.284797331,0.285794215,12,1,2024000,2024000,05/05/2022,2024000,07/06/2022,07/05/2023,31,192687.4448,303114.88,87192.18,101.38,5604,active,303114.88,,0,0
626c0d71024a4ac18100034a,627ee127042bc54faf504eec,1,0.284797331,0.285794215,12,1,2024000,2024000,13/05/2022,1829742,14/06/2022,14/05/2023,0,192687.4448,149974.98,44283.12,0,5901,active,0,,29017.84,0
61e09c2b024a4a338c00daea,62294a355c5dbe259955f6e3,1,0.276097266,0.277102976,12,1,1318000,1318000,09/03/2022,1018861.49,07/04/2022,07/03/2023,1,125031.7323,404151.31,20701.82,0,3994,active,105012.80,,0,0
5f4ae9dc2f41f3bd1f0016b0,5fed052150145169700e3f20,1,0.260801629,0.2619,3,1,350000,350000,23/12/2020,0,23/01/2021,23/03/2021,0,121245.9552,350000.02,0,0,1811-0186,closed,0,,0,0
60524d8d2f41f3392600028a,60861884ec481e6633ea1edb,1,0.260801629,0.2597,32,2,350000,350000,15/04/2021,0,22/04/2021,25/11/2021,0,14805.5643,350000.17,0,0,6713-0658,closed,0,,0,0
622e5632024a4a9cd6000ec9,6266f99fa3ebf73cc41e03ed,1,0.284752035,0.286262693,12,1,2018000,2018000,25/04/2022,1742184.51,25/05/2022,25/04/2023,13,192112.7085,302220.97,0,0,5053,active,26405.48,,14545.95,313.83
5f506fcf33eebb9c6400008d,5fed0521ff24c3698ce0c1f4,1,0.260801629,0.2619,3,1,350000,350000,23/12/2020,0,23/01/2021,23/03/2021,0,121245.9552,350000.02,0,0,3912-0195,writeOff,0,,0,0
62740972b5326f2433000016,627ee17b46f41c4fc121185d,1,0.284797331,0.285794215,12,1,1024000,1024000,13/05/2022,945352.71,14/06/2022,14/05/2023,0,97486.13808,75876.67,3291.55,0,5907,active,0,IMEBU,15629.44,0
5f78c8f4a3f178a9bb0001a6,5fd4544143d64d5ed419ce4e,1,0.26675055,0.2676,3,1,250000,250000,13/11/2020,0,13/12/2020,13/02/2021,0,86671.7831,250000.01,0,0,3542-0104,closed,0,,0,0
5f8f1eeb2f41f3ca9a0024f5,6153badc525141175a7e1c65,1,0.25690418,0.257896017,12,1,1018000,1018000,28/09/2021,276951.96,25/10/2021,25/09/2022,0,95811.16532,741280.66,0,0,1170,active,232.62,,2240.12,0
5f26efdf33eebbbc070006a0,5fe39aa087139d19bb12d046,1,0.260801629,0.2619,3,1,500000,500000,17/12/2020,0,17/01/2021,17/03/2021,0,173208.5074,500000.01,0,0,3480-0181,closed,0,,0,0
617d8f27024a4a82fd0044c1,61a2c9c358ed7c12871d2340,1,0.258103357,0.259096061,12,1,1218000,1218000,29/11/2021,743743.96,04/01/2022,04/12/2022,34,114691.7338,676333.47,28170.51,1098.95,2105,active,202077.43,BID,1590.28,247.4
5ef6e92ca3f1781ab700009f,5fd4519e43d64d5ed419ca1c,1,0.26675055,0.2714,3,1,500000,500000,28/10/2020,0,28/11/2020,28/01/2021,0,173343.5662,500000.01,0,0,5619-0047,closed,0,,0,0
6272bcbf024a4aaafc00220f,62799424b3d4fa072108723e,1,0.284797331,0.285794215,12,1,2524000,2524000,09/05/2022,2524000,07/06/2022,07/05/2023,31,240288.0982,377995.03,101928.08,126.43,5676,active,377995.03,BID,0,0
6222527a024a4a79f6015914,6255cd103aa3ff48ac79285c,1,0.276097266,0.27722311,12,1,1518000,1518000,23/03/2022,1392240.76,23/04/2022,23/03/2023,46,144004.6811,345539.36,68885.72,139.06,4161,active,219780.12,BID,12037.62,957.74
5f7b234fa3f1786cbd000003,60808eecec481e6633ea1de9,2,0.26675055,0.2612,5,1,500000,500000,10/03/2021,0,10/04/2021,10/08/2021,0,106048.411,500000.03,0,0,4758-0371,closed,0,,0,0
61f46ea5024a4a7d740010e3,620696b605d0071f31a33d3a,1,0.273503788,0.274492636,12,1,1518000,1518000,11/02/2022,1045454.79,14/03/2022,14/02/2023,0,143851.9527,465812.08,5618.88,0,3143,active,0,,16675.28,0
6208f6853b10c49767005b04,62196e213dc7ae07606e726d,1,0.273503788,0.274492636,12,1,1318000,1318000,25/02/2022,914216.78,26/03/2022,26/02/2023,0,124899.1262,404440.26,0,0,3601,active,657.04,,6702.05,0
